City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,69.1,broken clouds,-33.9258,18.4232,
2,San Jose,US,73.92,haze,37.3394,-121.895,
3,Rapar,IN,72.05,overcast clouds,23.5667,70.6333,
4,Teknaf,BD,73.96,broken clouds,20.8624,92.3058,
5,Mataura,NZ,58.33,scattered clouds,-46.1927,168.8643,
6,New Norfolk,AU,47.66,overcast clouds,-42.7826,147.0587,
8,Puerto Ayora,EC,76.96,scattered clouds,-0.7393,-90.3518,
9,Busselton,AU,59.09,scattered clouds,-33.65,115.3333,
10,East London,ZA,68.22,overcast clouds,-33.0153,27.9116,
11,Rikitea,PF,73.65,light rain,-23.1203,-134.9692,
13,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,
14,Punta Arenas,CL,51.91,few clouds,-53.15,-70.9167,
15,Nakasongola,UG,70.27,overcast clouds,1.3089,32.4564,
16,Fortuna,US,62.92,clear sky,40.5982,-124.1573,
17,Caravelas,BR,73.06,broken clouds,-17.7125,-39.2481,
18,Codrington,AU,52.63,overcast clouds,-38.2667,141.9667,
19,Mount Gambier,AU,48.11,overcast clouds,-37.8333,140.7667,
20,Oxford,GB,48.61,fog,51.7522,-1.256,
21,Namatanai,PG,79.57,moderate rain,-3.6667,152.4333,
23,Albany,US,41.58,broken clouds,42.6001,-73.9662,
24,Atuona,PF,77.43,light rain,-9.8,-139.0333,
25,Bluff,NZ,53.53,overcast clouds,-46.6,168.3333,
26,Areka,ET,64.09,light rain,7.0667,37.7,
27,Koupela,BF,83.68,overcast clouds,12.1794,-0.3517,
28,Oriximina,BR,82.58,overcast clouds,-1.7656,-55.8661,
29,Ribeira Grande,PT,68.4,few clouds,38.5167,-28.7,
31,Lebu,CL,54.68,clear sky,-37.6167,-73.65,
34,Khandbari,NP,55.96,scattered clouds,27.3747,87.2039,
36,Martapura,ID,72.93,moderate rain,-3.4167,114.85,
39,Dhidhdhoo,MV,80.64,overcast clouds,6.8833,73.1,
40,Jamestown,US,38.52,snow,42.097,-79.2353,
41,Westport,US,48.18,few clouds,41.1415,-73.3579,
42,Victoria,HK,71.33,few clouds,22.2855,114.1577,
43,Ushuaia,AR,47.86,broken clouds,-54.8,-68.3,
44,Hithadhoo,MV,82.09,few clouds,-0.6,73.0833,
45,Bereda,ES,53.91,overcast clouds,43.2686,-7.5406,
46,Juegang,CN,54.91,overcast clouds,32.3174,121.1855,
48,Mackay,AU,83.05,clear sky,-21.15,149.2,
50,Thunder Bay,CA,32.56,broken clouds,48.4001,-89.3168,
51,Bambanglipuro,ID,59.61,overcast clouds,-7.95,110.2833,
54,Naze,JP,58.12,few clouds,28.3667,129.4833,
