City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,69.1,67,75,5.75,broken clouds
1,Luderitz,NA,-26.6481,15.1594,63.84,79,0,12.97,clear sky
2,San Jose,US,37.3394,-121.895,73.92,65,1,8.05,haze
3,Rapar,IN,23.5667,70.6333,72.05,32,99,8.59,overcast clouds
4,Teknaf,BD,20.8624,92.3058,73.96,91,67,5.95,broken clouds
5,Mataura,NZ,-46.1927,168.8643,58.33,43,49,11.52,scattered clouds
6,New Norfolk,AU,-42.7826,147.0587,47.66,62,91,1.99,overcast clouds
7,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,26.46,broken clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,76.96,76,30,9.71,scattered clouds
9,Busselton,AU,-33.65,115.3333,59.09,93,34,7.43,scattered clouds
10,East London,ZA,-33.0153,27.9116,68.22,66,100,13.24,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,73.65,85,98,11.97,light rain
12,Kahului,US,20.8947,-156.47,86.02,73,20,12.66,few clouds
13,Avarua,CK,-21.2078,-159.775,77.05,83,75,13.8,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,51.91,37,20,29.93,few clouds
15,Nakasongola,UG,1.3089,32.4564,70.27,66,88,2.42,overcast clouds
16,Fortuna,US,40.5982,-124.1573,62.92,72,1,1.99,clear sky
17,Caravelas,BR,-17.7125,-39.2481,73.06,65,82,8.19,broken clouds
18,Codrington,AU,-38.2667,141.9667,52.63,66,99,5.75,overcast clouds
19,Mount Gambier,AU,-37.8333,140.7667,48.11,87,90,5.75,overcast clouds
20,Oxford,GB,51.7522,-1.256,48.61,98,90,1.14,fog
21,Namatanai,PG,-3.6667,152.4333,79.57,86,100,13.8,moderate rain
22,Tazovskiy,RU,67.4667,78.7,5.34,94,100,14.29,light snow
23,Albany,US,42.6001,-73.9662,41.58,77,76,1.01,broken clouds
24,Atuona,PF,-9.8,-139.0333,77.43,76,4,9.44,light rain
25,Bluff,NZ,-46.6,168.3333,53.53,63,88,22.17,overcast clouds
26,Areka,ET,7.0667,37.7,64.09,66,88,4.52,light rain
27,Koupela,BF,12.1794,-0.3517,83.68,22,97,1.79,overcast clouds
28,Oriximina,BR,-1.7656,-55.8661,82.58,68,100,1.48,overcast clouds
29,Ribeira Grande,PT,38.5167,-28.7,68.4,83,20,16.11,few clouds
30,Qaanaaq,GL,77.484,-69.3632,0.43,75,100,9.95,overcast clouds
31,Lebu,CL,-37.6167,-73.65,54.68,64,1,19.75,clear sky
32,Yerbogachen,RU,61.2767,108.0108,15.57,97,100,3.51,overcast clouds
33,Beringovskiy,RU,63.05,179.3167,27.73,94,100,11.12,light snow
34,Khandbari,NP,27.3747,87.2039,55.96,73,49,2.01,scattered clouds
35,Insar,RU,53.8653,44.3738,22.24,95,75,5.48,broken clouds
36,Martapura,ID,-3.4167,114.85,72.93,97,94,2.26,moderate rain
37,Kodiak,US,57.79,-152.4072,26.11,68,1,3.44,clear sky
38,Thompson,CA,55.7435,-97.8558,26.76,93,90,3.44,light snow
39,Dhidhdhoo,MV,6.8833,73.1,80.64,81,100,17.11,overcast clouds
40,Jamestown,US,42.097,-79.2353,38.52,96,90,3.0,snow
41,Westport,US,41.1415,-73.3579,48.18,63,20,1.99,few clouds
42,Victoria,HK,22.2855,114.1577,71.33,79,11,1.01,few clouds
43,Ushuaia,AR,-54.8,-68.3,47.86,53,75,26.46,broken clouds
44,Hithadhoo,MV,-0.6,73.0833,82.09,75,19,15.43,few clouds
45,Bereda,ES,43.2686,-7.5406,53.91,92,100,6.42,overcast clouds
46,Juegang,CN,32.3174,121.1855,54.91,57,100,5.08,overcast clouds
47,Khatanga,RU,71.9667,102.5,-29.61,100,65,4.61,broken clouds
48,Mackay,AU,-21.15,149.2,83.05,78,0,4.61,clear sky
49,Panama City,PA,8.9936,-79.5197,87.75,69,40,10.36,scattered clouds
50,Thunder Bay,CA,48.4001,-89.3168,32.56,49,75,5.75,broken clouds
51,Bambanglipuro,ID,-7.95,110.2833,59.61,89,100,1.14,overcast clouds
52,Fairbanks,US,64.8378,-147.7164,1.22,74,90,0.0,light snow
53,Belaya Gora,RU,68.5333,146.4167,2.35,98,100,2.73,light snow
54,Naze,JP,28.3667,129.4833,58.12,62,11,7.76,few clouds
55,Hilo,US,19.7297,-155.09,79.79,96,90,6.91,moderate rain
56,Ulladulla,AU,-35.35,150.4667,61.88,48,7,5.3,clear sky
57,Bengkulu,ID,-3.8004,102.2655,75.31,84,91,3.8,overcast clouds
58,Lorengau,PG,-2.0226,147.2712,82.45,77,98,5.79,overcast clouds
59,Houma,US,29.5958,-90.7195,75.99,55,0,5.01,clear sky
60,Upernavik,GL,72.7868,-56.1549,0.81,70,13,7.2,few clouds
61,Zhuhai,CN,22.2769,113.5678,71.06,73,20,12.66,few clouds
62,Namibe,AO,-15.1961,12.1522,72.7,79,100,10.04,overcast clouds
63,Dikson,RU,73.5069,80.5464,-11.85,94,35,4.94,scattered clouds
64,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,75,5.75,light snow
65,Nattarasankottai,IN,9.8667,78.5667,77.68,92,100,4.05,overcast clouds
66,Saint-Pierre,RE,-21.3393,55.4781,73.04,70,0,4.61,clear sky
67,Lompoc,US,34.6391,-120.4579,88.79,51,1,12.66,clear sky
68,Meulaboh,ID,4.1363,96.1285,76.37,89,99,3.69,overcast clouds
69,Wamba,NG,8.9333,8.6,77.58,51,39,4.03,scattered clouds
70,Poum,NC,-20.2333,164.0167,79.29,78,34,5.61,scattered clouds
71,Tautira,PF,-17.7333,-149.15,86.02,79,95,20.02,overcast clouds
72,Iqaluit,CA,63.7506,-68.5145,-0.31,77,20,11.01,few clouds
73,Bethel,US,41.3712,-73.414,45.75,67,53,1.99,broken clouds
74,Cherskiy,RU,68.75,161.3,18.39,86,100,5.06,overcast clouds
75,Samarai,PG,-10.6167,150.6667,83.75,78,79,9.51,broken clouds
76,Dunedin,NZ,-45.8742,170.5036,54.81,66,28,3.0,scattered clouds
77,Avera,US,33.194,-82.5271,65.71,35,0,6.49,clear sky
78,Cockburn Town,TC,21.4612,-71.1419,82.4,74,58,15.7,broken clouds
